Transfer ID,Transfer Value,Sender ID,Receiver ID,Comment,Factor,SCW new of receiver,SCW old of receiver,Topic ID
1,100,1,1, ,1,1,0,1
2,100,1,1, ,1,1,1,7
3,100,2,2, ,1,1,0,1
4,100,2,2, ,1,1,1,7
5,100,3,3, ,1,1,0,1
6,100,4,4, ,1,1,0,1
7,100,5,5, ,1,1,0,1
8,100,6,6, ,1,1,0,1
9,100,6,6, ,1,1,1,7
10,100,7,7, ,1,1,0,1
11,100,8,8, ,1,1,0,1
12,100,9,9, ,1,1,0,1
13,100,10,10, ,1,1,0,1
14,100,10,10, ,1,1,1,7
15,100,11,11, ,1,1,0,1
16,100,12,12, ,1,1,0,1
17,100,11,11, ,1,1,1,7
18,100,13,13, ,1,1,0,1
19,100,14,14, ,1,1,0,1
20,100,15,15, ,1,1,0,1
21,100,16,16, ,1,1,0,1
22,100,17,17, ,1,1,0,1
23,100,18,18, ,1,1,0,1
24,100,19,19, ,1,1,0,1
25,100,16,16, ,1,1,1,7
26,100,20,20, ,1,1,0,1
27,100,21,21, ,1,1,0,1
28,100,22,22, ,1,1,0,1
29,100,22,22, ,1,1,1,7
30,100,23,23, ,1,1,0,1
31,100,24,24, ,1,1,0,1
32,100,24,24, ,1,1,1,7
33,100,25,25, ,1,1,0,1
34,100,26,26, ,1,1,0,1
35,-1,10,11,Test Transfer,0.005,1,1,4
36,1,11,10,Test Transfer,0.005,1.005,1,4
37,100,25,25, ,1,1,1,7
38,100,18,18, ,1,1,1,7
39,100,19,19, ,1,1,1,7
40,100,27,27, ,1,1,0,1
41,100,27,27, ,1,1,1,7
42,100,28,28, ,1,1,0,1
43,100,29,29, ,1,1,0,1
44,100,28,28, ,1,1,1,7
45,100,30,30, ,1,1,0,1
46,100,30,30, ,1,1,1,7
47,100,4,4, ,1,1,1,7
48,100,31,31, ,1,1,0,1
49,100,31,31, ,1,1,1,7
50,100,32,32, ,1,1,0,1
51,100,32,32, ,1,1,1,7
52,100,33,33, ,1,1,0,1
53,100,33,33, ,1,1,1,7
54,100,34,34, ,1,1,0,1
55,100,35,35, ,1,1,0,1
56,100,36,36, ,1,1,0,1
57,100,37,37, ,1,1,0,1
58,100,38,38, ,1,1,0,1
59,100,36,36, ,1,1,1,7
60,-1,28,36,:),0.005,1,1,6
61,1,36,28,:),0.005,1.005,1,6
62,100,39,39, ,1,1,0,1
63,100,37,37, ,1,1,1,7
64,100,39,39, ,1,1,1,7
65,100,38,38, ,1,1,1,7
66,100,40,40, ,1,1,0,1
67,100,40,40, ,1,1,1,7
68,100,41,41, ,1,1,0,1
69,100,41,41, ,1,1,1,7
70,100,35,35, ,1,1,1,7
71,100,42,42, ,1,1,0,1
72,100,43,43, ,1,1,0,1
73,100,43,43, ,1,1,1,7
74,100,17,17, ,1,1,1,7
75,-20,35,17,someBODY once told me you deserve that!,0.005,1,1,6
76,20,17,35,someBODY once told me you deserve that!,0.005,1.1,1,6
77,100,44,44, ,1,1,0,1
78,100,45,45, ,1,1,0,1
79,100,7,7, ,1,1,1,7
80,100,44,44, ,1,1,1,7
81,100,46,46, ,1,1,0,1
82,100,47,47, ,1,1,0,1
83,100,48,48, ,1,1,0,1
84,100,47,47, ,1,1,1,7
85,-50,35,27,so responsible,0.005,1,1,5
86,50,27,35,so responsible,0.005,1.25,1,5
87,100,46,46, ,1,1,1,7
88,100,45,45, ,1,1,1,7
89,100,49,49, ,1,1,0,1
90,100,50,50, ,1,1,0,1
91,100,51,51, ,1,1,0,1
92,100,48,48, ,1,1,1,7
93,-99,48,40,You self destructive little girl,0.005,1,1,4
94,99,40,48,You self destructive little girl,0.005,1.495,1,4
95,-1,40,48,Schrödinger's message,0.005,1,1,6
96,1,48,40,Schrödinger's message,0.005,1.005,1,6
97,-57,40,48,spam,0.005,1,1,1
98,57,48,40,spam,0.005,1.285,1,1
99,100,51,51, ,1,1,1,7
100,-30,26,51,Transfer,0.005,1,1,4
101,30,51,26,Transfer,0.005,1.15,1,4
102,100,52,52, ,1,1,0,1
103,100,50,50, ,1,1,1,7
104,100,52,52, ,1,1,1,7
105,100,53,53, ,1,1,0,1
106,100,54,54, ,1,1,0,1
107,100,55,55, ,1,1,0,1
108,100,55,55, ,1,1,1,7
109,100,56,56, ,1,1,0,1
110,100,20,20, ,1,1,1,7
111,-11,16,20,This is a comment.,0.005,1,1,6
112,11,20,16,This is a comment.,0.005,1.055,1,6
113,100,57,57, ,1,1,0,1
114,100,57,57, ,1,1,1,7
115,100,58,58, ,1,1,0,1
116,-1,36,28,Where could be the best place to swim outdoors?,0.005,1,1,2
117,1,28,36,Where could be the best place to swim outdoors?,0.005,1.005,1,2
118,-1,41,28,The best CLUB in Munich? :3~~,0.005,1,1,2
119,1,28,41,The best CLUB in Munich? :3~~,0.005,1.005,1,2
120,-1,58,28,If there was a chance for you to vote in USA: would you choose Trump or Hilary? :3,0.005,1,1,1
121,1,28,58,If there was a chance for you to vote in USA: would you choose Trump or Hilary? :3,0.005,1.005,1,1
122,100,59,59, ,1,1,0,1
123,100,60,60, ,1,1,0,1
124,100,61,61, ,1,1,0,1
125,100,61,61, ,1,1,1,7
126,100,62,62, ,1,1,0,1
127,100,62,62, ,1,1,1,7
128,-50,33,27,without a good reason,0.005,1,1,6
129,50,27,33,without a good reason,0.005,1.25,1,6
130,100,63,63, ,1,1,0,1
131,100,63,63, ,1,1,1,7
132,100,64,64, ,1,1,0,1
133,100,64,64, ,1,1,1,7
134,100,65,65, ,1,1,0,1
135,100,65,65, ,1,1,1,7
136,100,66,66, ,1,1,0,1
137,100,66,66, ,1,1,1,7
138,100,67,67, ,1,1,0,1
139,100,67,67, ,1,1,1,7
140,100,12,12, ,1,1,1,7
141,100,68,68, ,1,1,0,1
142,100,68,68, ,1,1,1,7
143,100,69,69, ,1,1,0,1
144,100,69,69, ,1,1,1,7
145,-20,67,69,Bitteschön! :-),0.005,1,1,5
146,20,69,67,Bitteschön! :-),0.005,1.1,1,5
147,100,70,70, ,1,1,0,1
148,-5,70,69,Welcome credit! ;-),0.005,1,1,6
149,5,69,70,Welcome credit! ;-),0.005,1.025,1,6
150,100,71,71, ,1,1,0,1
151,100,13,13, ,1,1,1,7
152,100,72,72, ,1,1,0,1
153,100,72,72, ,1,1,1,7
154,100,73,73, ,1,1,0,1
155,100,74,74, ,1,1,0,1
156,100,75,75, ,1,1,0,1
157,100,58,58, ,1,1,1,7
158,100,76,76, ,1,1,0,1
159,100,23,23, ,1,1,1,7
160,100,76,76, ,1,1,1,7
161,100,77,77, ,1,1,0,1
162,-5,18,76,Danke für deine Bemühungen dein Film ist super geworden ;),0.005,1,1,5
163,5,76,18,Danke für deine Bemühungen dein Film ist super geworden ;),0.005,1.025,1,5
164,100,78,78, ,1,1,0,1
165,100,79,79, ,1,1,0,1
166,100,79,79, ,1,1,1,7
167,100,73,73, ,1,1,1,7
168,-1,46,7,you suck,0.005,1,1,1
169,1,7,46,you suck,0.005,1.005,1,1
170,-5,69,11,Fuck trump blog,0.005,1,1,1
171,5,11,69,Fuck trump blog,0.005,1.025,1,1
172,100,80,80, ,1,1,0,1
173,100,80,80, ,1,1,1,7
174,100,81,81, ,1,1,0,1
175,100,82,82, ,1,1,0,1
176,100,83,83, ,1,1,0,1
177,100,84,84, ,1,1,0,1
178,100,83,83, ,1,1,1,7
179,100,85,85, ,1,1,0,1
180,100,86,86, ,1,1,0,1
181,100,86,86, ,1,1,1,7
182,100,87,87, ,1,1,0,1
183,-3,87,86,Buy yourself a social sandwich.,0.005,1,1,6
184,3,86,87,Buy yourself a social sandwich.,0.005,1.015,1,6
185,100,87,87, ,1,1,1,7
186,-5,86,87,I agree with your statements. Tips fedora^2,0.005,1,1,1
187,5,87,86,I agree with your statements. Tips fedora^2,0.005,1.025,1,1
188,-16,72,86,If you buy 10 pokéballs at once you get a primeball!,0.005,1,1,6
189,16,86,72,If you buy 10 pokéballs at once you get a primeball!,0.005,1.08,1,6
190,100,88,88, ,1,1,0,1
191,100,89,89, ,1,1,0,1
192,100,88,88, ,1,1,1,7
193,100,90,90, ,1,1,0,1
194,100,91,91, ,1,1,0,1
195,100,91,91, ,1,1,1,7
196,-10,91,91,I really like myself^^,0.005,1,1,4
197,10,91,91,I really like myself^^,0.005,1.05,1,4
198,-10,91,90,Sorry but I have to try that :),0.005,1,1,5
199,10,90,91,Sorry but I have to try that :),0.005,1.05,1,5
200,-10,90,91,Sorry for the theft^^ Just to be fair again...,0.005,1.05,1.05,5
201,10,91,90,Sorry for the theft^^ Just to be fair again...,0.005,1.0525,1,5
202,100,92,92, ,1,1,0,1
203,100,92,92, ,1,1,1,7
204,-1,92,1,test,0.005,1,1,1
205,1,1,92,test,0.005,1.005,1,1
206,-1,1,92,test,0.005,1.005,1.005,1
207,1,92,1,test,0.005,1.005025,1,1
208,100,93,93, ,1,1,0,1
209,100,74,74, ,1,1,1,7
210,100,94,94, ,1,1,0,1
211,100,94,94, ,1,1,1,7
212,-1,46,94,nice post,0.005,1,1,6
213,1,94,46,nice post,0.005,1.005,1,6
214,-66,35,50,Geiler Mann!,0.005,1,1,1
215,66,50,35,Geiler Mann!,0.005,1.33,1,1
216,-99,7,46,He is awesome,0.005,1,1,5
217,99,46,7,He is awesome,0.005,1.495,1,5
218,-99,46,7,99 Luftballoons,0.005,1,1,2
219,99,7,46,99 Luftballoons,0.005,1.495,1,2
220,-1,92,1,test2,0.005,1,1,6
221,1,1,92,test2,0.005,1.005,1,6
222,-1,1,92,tet,0.005,1.005,1.005,1
223,1,92,1,tet,0.005,1.01005,1.005025,1
224,-12,47,46,She is also awesome,0.005,1,1,4
225,12,46,47,She is also awesome,0.005,1.06,1,4
